Key,Description,Standard,EN,JP,SP,RS,FR,GR
SAY.Standard.57.李琴,,그거 들었어? 우리 학교 수영장에 귀신이 나온대.,Have you heard? Our swimming pool is haunted.,上級生の話を聞いて，私たちの学校のプールはとても危険だ!,,,,
SAY.Standard.58.肖月,,귀신? 수영장에? 우리 계속 수업 들었던 곳에?,Haunted? Our swimming pool... The one we've all had classes in.,室内の何か悳できるのか。私たちは授業に行ったことがあるでしょう。,,,,
SAY.Standard.59.李琴,,"그러니까! 근데 우린 낮에 들었고, 귀신은 밤에만 나온대! 거기서 죽은 게 한둘이 아니래!{vpunch=30}"," {vpunch=30}Exactly! But that's during the day,  they say it's only haunted at night! More than one people have died there!",いやいや!と言って、それは昼の夜特陰!死、天性は一つにとどまらずね!{vpunch=30},,,,
SAY.Standard.60.肖月,,정말? 우리 학교 맞아? 누가 죽었는데? 선생님이야 아니면…,Seriously!? And you're sure it's our school? Wh- Who died? Was it a teacher or ?,学校?室内プールが死んでもいい?学生は…,,,,
SAY.Standard.62.李琴,,학생이라고 들었어.,"Students, from what  I've been told.",学生かな、みんな夜にこっそり入って遊んでたみたいだよ。,,,,
SAY.Standard.63.肖月,,그럼 밤에는 문을 잠가 둬야 하는 거 아냐?,Shouldn't the door be locked at night?,夜屋のない?,,,,
SAY.Standard.64.李琴,,"맞아, 근데 그 학생들은 몰래 열쇠를 가지고 있었대.","Yes, but these students all had a key when they weren't supposed to.",彼はどこから来てわからないの键!,,,,
SAY.Standard.827.李琴,,뭔가가 자기들을 부르는 것 같았대!,"They were like, being summoned!",呼びかけられたように!,,,,
SAY.Standard.826.李琴,,마지막 ‘사고’를 당한 건 미술과 남자였는데 여름방학이었대. 학교엔 아무도 없었지.,"The last ""incident"" well, he was an art major. He went during summer vacation, nobody was at the school.",学芸術の最近のあるらしい、休日も知らず追い出そう間違った水泳に行き、抜け出した,,,,
SAY.Standard.828.李琴,,가을에서야 발견했는데 시신이 다 썩어서 수영장을 한 달 내내 청소했대.,They didn't find him until fall. The corpse was so rotten that it took a whole month to clean the pool.,始業後に発見した。死体が温泉に腐っていた。,,,,
SAY.Standard.65.肖月,,{vpunch=30}무서워! 그만 얘기해!,{vpunch=30} That's disgusting! Stop talking!,{vpunch=30} !怖い!やめろ!,,,,
SAY.Standard.66.李琴,,…,…,…,,,,
SAY.Standard.515.王亚茹,,"아, 좋다!","Huh, nice!",ハァ!いい!,,,,
SAY.Standard.2749.王亚茹,,네 번 왕복하니 나쁜 기분이 싹 사라지네!,"After 4 rounds, my bad mood is completely gone! ",4往复し、泳いでた悪い気持ちの労苦の光!,,,,
SAY.Standard.2748.王亚茹,,잠깐만 쉬자!,It's time to take a rest!,休みなさい!,,,,
SAY.Standard.542.体育老师,,{vpunch=30}어이! 거기!,{vpunch=30} Hey!  You!,{vpunch=30}「おい!あなたは!,,,,
SAY.Standard.544.体育老师,,무슨 소리가 나는 것 같더니! 누가 들어와도 된다고 했어?{vpunch=30},I thought I heard something... What are you doing here?  {vpunch=30},私は何の音!おまえが入ってきたの?{vpunch=30},,,,
SAY.Standard.548.王亚茹,,곧 대회라서요. 연습하고 갈게요!,"I'm training, for the Summer contest.",そうに試合をしていて、私の練習は歩いている!,,,,
SAY.Standard.549.王亚茹,,걱정하지 마세요. 저 수영 잘해요!,"Don?t worry, I'm really good! ",先生は安心とか、私の技術がいい!,,,,
SAY.Standard.550.体育老师,,9시 이후 사용은 교칙 위반이다! 알고 있지?{vpunch=30},It's against the rules to be here after 9 PM ! And you knew it!   {vpunch=30},学校夜9時後に入っていけないプールと規定し、あなたは知らないのです!?{vpunch=30},,,,
SAY.Standard.552.王亚茹,,"에, 그게 저는…","Yeah, I thought, er... I, er...",私。。,,,,
SAY.Standard.551.体育老师,,뭐라는 거야! 변명하지 마! 당장 탈의실로 가.{vpunch=30},"You thought what?!  {vpunch=30} No excuses!  Get out of the pool and get to the dressing room, immediately!.  {vpunch=30} ",私は何の!少ない先生とクセがある!すぐにロッカールーム。{vpunch=30},,,,
SAY.Standard.553.体育老师,,"잠시 뒤에 소등하러 올 건데, 그때도 있으면 교장실 직행이야!{vpunch=30}","I will be back in 10 minutes to lock up, if I still see you here I'll be going straight to the principle!  {vpunch=30} ",しばらく私の消灯あなた必ず蓄えるは私を探しに来班主任に!{vpunch=30},,,,
SAY.Standard.554.王亚茹,,"네, 선생님!","OK, sir!",は、は!,,,,
SAY.Standard.555.王亚茹,,（세상에! 선생님들도 소문을 믿는 건가? 바보처럼?）,（Geez! Is that a joke?  I wonder if the teachers believe the rumors? ）,（切った!先生もそれらのデマを信じますか。人々は白痴か?）,,,,
SAY.Standard.556.王亚茹,,（돌아오시기 전에 몇 번 더 왕복할 수 있겠다!）,（Ridiculous! I have time for a few more laps before he comes back!  ）,（先生が戻ってくる前、早く再練習数周!）,,,,
SAY.Standard.1249.王亚茹,,（물속에선 아무도 날 이길 수 없다고!）,"（Besides, no one can beat me in the water!  ）",（で、水がなかった人は私の相手で!）,,,,
SAY.Standard.3276.王亚茹,,아!!!,Ah!!!,! ! ! ! !,,,,
SAY.Standard.3277.王亚茹,,누구야?!,Who is there!?,誰?!,,,,
SAY.Standard.621.王亚茹,,（젠장! 뭐였지?）,（ Shit!  What was that? !  ）,（私を!さっきのは何か。!）,,,,
SAY.Standard.622.王亚茹,,（분명히 그림자 같은 걸 본 듯한데! 아닌가?）,（ I thought I saw something! Or did I ?! ）,（のに见一団の影!私が間違っていたか。!）,,,,
SAY.Standard.623.王亚茹,,（지금은 아무것도 없네…）,（ Maybe I'm starting to imagine things ）,（今は何もないよ…）,,,,
SAY.Standard.1250.王亚茹,,（무슨 일이지?）,（ What's going on!? ）,（どういうこと?）,,,,
SAY.Standard.1253.王亚茹,,（느낌이 안 좋아. 여기서 그만둘까?）,（ I have a bad feeling?Maybe I should quit? ）,（は感じが悪いのは、引き続き?）,,,,
SAY.Standard.1252.王亚茹,,（집에 갔다가 연습은 내일 할까?）,（ Should I just go home and come back tomorrow? ）,（行ったり帰って、明日の練習?）,,,,
MENU.Standard.1276,,"바보 같은 소문은 생각 말고, 두 번만 더 왕복하자!",I shouldn't letting those stupid rumors get in my head.  I should focus on swimming!,たぶん老彼らの话では、私がやっている心理の影になって、再游2往复!,,,,
MENU.Standard.1277,,"아, 기분이 안 좋아졌어. 집에 가야겠어!","Ah, forget it!  My bad mood is back. I'm going home!",今日の感覚が悪い、まあ、帰宅宿題ましょう!,,,,
SAY.Standard.1267.王亚茹,,아!!!,Ahhh!!,あ! ! ! ! !,,,,
SAY.Standard.1268.王亚茹,,（내가 익사한다고?!）,"（Damn, Am I drowning?!  ）",（おしまい!?!）,,,,
SAY.Standard.1269.王亚茹,,（그럴 리 없어!{vpunch=30} 물속에선 아무도 날 이길 수 없어!）,"（ No,no, this shall not be my fate! No one can defeats me in water!    ）",（はずがない!{vpunch=30}水に認識できなかった私の相手に!）,,,,
SAY.Standard.1270.王亚茹,,（나 이렇게 익사할 순 없어!）,"（Do something, YaRu!   ）",（不可能のようにおぼれる!）,,,,
SAY.Standard.668.体育老师,,"야, 내가 들어가지 말라고 했지!",Shit! I told you to leave!,ハァ、とあなたは少なからぬ進水!,,,,
SAY.Standard.3544.体育老师,,요즘 애들은 말을 안 들어요!{vpunch=30},You kids just don't listen!  {vpunch=30},あなたはこれらの子供は闻かない!{vpunch=30},,,,
SAY.Standard.669.体育老师,,"내가 때맞춰 와서 다행이지, 깜짝 놀랐잖아!{vpunch=30}","You are lucky that I got back in time! You scared the living hell out of me, you know!  {vpunch=30}",幸い私のほうに、びっくりした!{vpunch=30},,,,
SAY.Standard.670.王亚茹,,아뇨! 선생님…,No! Sir.,ない!,,,,
SAY.Standard.673.王亚茹,,방금 누군가가…!,Some one is in the water!,という!,,,,
SAY.Standard.674.王亚茹,,제 발을 잡고 끌어당겼어요!,He grabbed my foot and pulled me down!,という私の足をつかんで私を下に持ち込んだ!,,,,
SAY.Standard.675.体育老师,,말도 안 돼!,"No,no, I didn't see anyone. You must have been exhausted.",馬鹿なことを!,,,,
SAY.Standard.676.体育老师,,여긴 너와 나 말곤 없다!,There is no one here except you and me!,今は全体のプールはあなたと私の二人!,,,,
SAY.Standard.677.体育老师,,어서 옷 입고 밤에는 다시 오지 마!,Now go get dressed and don't come back here at night ever again! You hear me?!,さっさと着替え、これから来ない夜!,,,,
SAY.Standard.679.体育老师,,여보세요? 신호가 왜 이래. 잠깐만!,"Hello? Hello! Oh,shit, bad signal!..Hang on! ",もしもし?もしもし?あら、ここで信号はない!あなたを待って!,,,,
SAY.Standard.680.体育老师,,야! 당장 나와서 옷 갈아입어!{vpunch=30},"Hey,you! Leave the pool and go home!   {vpunch=30} ",ねえ、あなた、すぐ私に出て、おとなしく着替え!{vpunch=30},,,,
SAY.Standard.3545.体育老师,,통화하고 와서 문 잠글 거다!,"I'm going to finish this call outside, then I'll be back to lock the door! ",私の电话にしばらく戸締まりに来る!,,,,
SAY.Standard.681.体育老师,,뭐? 또 부서졌다고? 시설 관리부는 뭐 하는 거야?,Hello? What? Broken again? What's wrong with the maintenance department..,?何?また壊れたのか。整備部門はどうやって?,,,,
SAY.Standard.695.王亚茹,,（창피해.）,（ What a shame. ）,（ずかしいすぎる、）,,,,
SAY.Standard.1278.王亚茹,,（작년 우승자가 물에서 구조를 요청해?）,（ The last year's champion needed help in the water!   ）,（が昨年の優勝も他人を助けて!?）,,,,
SAY.Standard.696.王亚茹,,（난 쓸모없어!）,（ I'm useless!   ）,（私本当に无駄!）,,,,
SAY.Standard.697.王亚茹,,（하지만 발을 잡아당긴 누군가가 분명히 있었어.）,（ There was definitely someone in the water pulling my foot， ）,（がさっき私の足を引っ張って、たしかに感じる）,,,,
SAY.Standard.698.王亚茹,,（소문이 사실인 걸까?{vpunch=30}）,"（I'm sure about it, I can still feel the hand around my ankle. ）",（本当にうわさは?）,,,,
SAY.Standard.703.王亚茹,,{vpunch=30}어이! 대체 누구야?,Hey! Wh-who the hell are you?,おい!あなたは何か。,,,,
SAY.Standard.1280.王亚茹,,숨지 마! 모습을 드러내고 싸우자!{vpunch=30},Stop hiding! Show yourself!,隠れていない!腕が出ある戦う!,,,,
SAY.Standard.709.王亚茹,,물속에선 아무도 날 이길 수 없어!{vpunch=30},You want a piece of me? No one challenges me in the pool!,教えて、水中のなかった人は私の相手に!,,,,
SAY.Standard.713.恶鬼,,"어, 어, 어~",Uh， uh， uh， uh， uh， uh,ええええええ~ ~ ~,,,,
SAY.Standard.718.王亚茹,,아!!!,Ah!!!!!!,あ! ! !,,,,
SAY.Standard.744.恶鬼,,마침내!,Finally!,ついにこの日を待った!,,,,
SAY.Standard.745.恶鬼,,다른 사람을 찾았으니 여길 떠나 환생할 수 있어!,"I did it, I can live for another life as a human.",代役を見つけ、私がこの池を去り行く押しかけた!,,,,
SAY.Standard.746.恶鬼,,{vpunch=30}하하하~,{vpunch=30} ha ha ha ha,{vpunch=30}ハハハハ——,,,,
SAY.Standard.3407.恶鬼,,{flash=0.3} 음?,{flash=0.3} HMM??,{flash = 0.3}うん? ? ?,,,,
SAY.Standard.747.王亚茹,,"{vpunch=30}그래, 너였구나?!","{vpunch=30} Hm, so it was you,",{vpunch=30}ねえ、君はう、,,,,
SAY.Standard.1282.王亚茹,,내 발을 잡아당긴 사람이?,The one who dragged me down into the water?,かくばかり私は足の人?,,,,
SAY.Standard.1283.恶鬼,,"그래, 지금은 사람이 아니지만 곧 사람이 될 거다.","Yes, and you are welcome. Think of it as a lesson. I don't charge.",私は人間ではありませんが、すぐです。,,,,
SAY.Standard.1284.王亚茹,,무슨 뜻이야?,What do you mean of that?,どういうこと?,,,,
SAY.Standard.1285.恶鬼,,하하!,Ha ha!,ハハ!,,,,
SAY.Standard.1289.恶鬼,,난 지난 여름방학에 여기서 익사했어.,I drowned here. Last summer vacation.,私は去年の夏休みに溺死しました,,,,
SAY.Standard.1288.恶鬼,,다른 사람을 같은 방법으로 익사시켜야 환생할 수 있는 거야!,"If I can drown another person in the same way that I died, I can finally leave this place! ",私がもう一人を同じような方法でここで死なせることができなければ、私は死ぬことができません!,,,,
SAY.Standard.1287.恶鬼,,이제 네가 날 대신하니 난 여길 떠날 수 있어!,"Thanks to you, I am done here and I can live a brand new life in the human world.",だから、今あなたが来たら、私は往生を離れることができる!,,,,
SAY.Standard.1286.恶鬼,,"오, 아직 이해가 안 되는구나?","You still don't understand, do you?",おや，まだわからないでしょう，,,,,
SAY.Standard.1290.恶鬼,,뒤에 있는 시체를 봐. 넌 죽었어.,Look behind you. You're dead.,あなたの後ろの体を見てください。あなたはもう死んでいます,,,,
SAY.Standard.1291.王亚茹,,내가 죽은 건 알아.,"Well, I know I'm dead? ",私は死んだことを知っています,,,,
SAY.Standard.1294.王亚茹,,그래서 뭐?,So what?,それはどうだった?{头= 30},,,,
SAY.Standard.1293.王亚茹,,내 발을 잡아 물속으로 당긴 게 네가 맞는 거지?,I just needed to be certain that you were the one that pulled me into the water.,さっき言って私に足がその後を引いて水の中を捕まえたは你咯?,,,,
SAY.Standard.1296.恶鬼,,내 알 바 아냐.,"None of that matters now, I'm free to go.",これらは重要でないし、もう解脱ました、,,,,
SAY.Standard.1300.恶鬼,,여기서 벗어나고 싶다면 다른 사람을 익사시켜 대체하게 하면 된다.,"Hey, If you want to get out of here? just do what I did to you.",あなたはここを出たら行きたいラ下に一人、彼を引っ張ってきた溺れ、,,,,
SAY.Standard.1299.恶鬼,,방금 내가 너에게 했듯이.,"Find someone else, drag him or her down deep into the water.",さっきのように。,,,,
SAY.Standard.1298.恶鬼,,요령을 터득하면 돼. 스스로 알아내라.,"It's easier said than done, there are some tricks you'll have to figure out yourself.",しかし、へへ、ちょっとしたコツがあるんだ、私はあなたに教えた、,,,,
SAY.Standard.1297.恶鬼,,"시간이 아주 많을 테니까. 난 일 년 내내 여기 있었다고, 헤헤.","You'll have plenty of time. As you know, I've been here for a whole year. ",あなたの时间を自分に感じ、私は丸一年ここにいたんだね、ウフフ。,,,,
SAY.Standard.1301.王亚茹,,（음… 그런 규칙의 게임인 거군?）,(HMM...  Is that how the game works? ),（うん……それがゲームのルール?）,,,,
SAY.Standard.1302.王亚茹,,（저놈이 말하는 대로 다른 사람을 찾아야 할까?）,(Should I obey this 'Rule' and do as he says? ),（彼の言う通りたいの?）,,,,
MENU.Standard.760,,"물에 있는 건 좋은데, 저놈을 저렇게 보내긴 불쾌해.",Fuck that! I'm going to do it MY way!,彼の行く!私が自分のルールどおりにやる!,,,,
MENU.Standard.761,,이제 저놈은 없으니 난 내 규칙을 따르겠어!,I like being in water anyway. But I'll be damned if let him go that easily.,こうもいい、どうせ私は水が好きで、ただ彼にちょっと不快とこのように歩いた。,,,,
SAY.Standard.1308.王亚茹,,이봐!{vpunch=30},Hey!  {vpunch= 30},エイ!{vpunch=30},,,,
SAY.Standard.3456.王亚茹,,어디로 가겠다는 거야?,Where do you think you're going?,どこに行きますか?,,,,
SAY.Standard.3445.恶鬼,,야! 뭐 하는 짓이야?,What? What on earth are you doing?,おい!あなたは私が何かを防ぐ,,,,
SAY.Standard.3446.恶鬼,,널 대체할 산 사람을 찾아야 한다고!,"You need to find someone ALIVE, don't you understand?!",あなたの代役自分探し個人をばいいじゃない!,,,,
SAY.Standard.3447.恶鬼,,날 붙잡아 봤자야. 대체할 사람이 없으면 수영장을 떠날 수 없어!,"Whatever you do to me, that won't help you leave this pool! The pool is cursed!",あなた止め私も仕方がない、代役ないあなたはやはりこの池だった!,,,,
SAY.Standard.1305.恶鬼,,뭐 하는 짓이야?{vpunch=30},What are you doing!?  {vpunch=30},おい!あなたは何ですか?{vpunch=30},,,,
SAY.Standard.769.王亚茹,,날 익사시킨 게 바로 너잖아.,Ha! You are the one who just drowned me.,キンムさん、あなたは私を殺した、,,,,
SAY.Standard.770.王亚茹,,내가 뭐 하러 다른 사람을 찾아?,Why would I go for someone else?,私がなぜ他人を探しに行くの?,,,,
SAY.Standard.771.王亚茹,,네가 바로 내가 복수할 대상이야!,Feel my anger and revenge!,あなたは私の探している复讐対象ですね!,,,,
SAY.Standard.780.恶鬼,,으악! 물지 마!,Fuck!! Don't bite me!,まさか!あなたが私を噛まない!,,,,
SAY.Standard.779.恶鬼,,이러면 수영장을 못 떠나고 환생도 못 해!,You'll never leave this pool and reincarnate again!,生のないようにあなたは永远に投げた!,,,,
SAY.Standard.781.王亚茹,,누가 환생하고 싶다고 했어?,Who told you I want to reincarnate?,誰が押しかけたいと言った。,,,,
SAY.Standard.782.王亚茹,,"내가 말했지, 물속에선 아무도 날 이길 수 없어!","You know what, no one can beat me in the water! ",言った、水の中になかった人は私の相手で!,,,,
SAY.Standard.783.王亚茹,,이제 조건은 같으니 도망치지 마!,"Now that we're on the same starting line, don't you dare try and get away from! ",今は平等だし、お前脱出したい!,,,,
SAY.Standard.787.恶鬼,,악! 살을 당기지 마!{vpunch=30},Ahh! Don't drag me down!  {vpunch= 30},やれやれ!私の肉!{vpunch=30},,,,
SAY.Standard.788.恶鬼,,영원히 물속에 있고 싶어?,Do you want to stay in the water forever? !,あなたは远いたい水?,,,,
SAY.Standard.789.恶鬼,,"악, 아프다고! 이 변태!",Ah! God! It hurts! Stop!  You pervert!,あら、良い痛み!あなたはこの変态!,,,,
SAY.Standard.790.王亚茹,,시끄러워. 어차피 이미 죽은 몸이잖아.,"Don't cry, you can't die again anyway, right? ",何を叫んで、どうせあなたも死な、,,,,
SAY.Standard.791.王亚茹,,정신 차리고 내게 덤벼봐!,Pull yourself together and beat me!,ペニスが下してください!,,,,
SAY.Standard.797.恶鬼,,으아악!{vpunch=30},AHHHH!!! {vpunch=30},ああああああ{vpunch=30},,,,
SAY.Standard.1397.,,몇 년 후…,Years later...,2年以降…,,,,
SAY.Standard.1404.王芳,,이해가 안 돼.,"Well, I don't understand,",おや、あなたは言った。,,,,
SAY.Standard.1406.王芳,,왜 계속 9시 이후는 수영 금지인 거야?,Why can't we use the swimming pool after 9 PM?,なぜまだ解除は夜9時以降の水泳禁止令をできないのか。,,,,
SAY.Standard.1405.孙燕,,"맞아, 자습 후에 긴장 풀기엔 딱인데.","Yeah, it's the perfect time to have fun and relax!",はまあ、ちょうど游自律学習に行けることになった。,,,,
SAY.Standard.1407.孙燕,,전에 거기서 안 좋은 일이 일어나서일 거야.,Maybe it's because something tragic happened there before.,以前から渡したことだろう。,,,,
SAY.Standard.1408.王芳,,그건 오래전 일이잖아?,But.. that was a long time ago.,それは远い昔のことよ、,,,,
SAY.Standard.1409.王芳,,지금은 괜찮지 않으려나?,Shouldn't it be fine now?,と早く大丈夫じゃないですか。,,,,
SAY.Standard.1410.孙燕,,"그게, ","By the way,",ところで、,,,,
SAY.Standard.1412.孙燕,,어떤 남자애가 수영장 열쇠를 구해서 몰래 들어간 적이 있대.,I've heard someone got the key to the pool and sneaked in several times,聞いて好奇した鍵、こっそり游び、,,,,
SAY.Standard.1411.孙燕,,"처음 몇 번은 아무 일도 없었는데, 그러다가, ","The first few times were fine, but then there was this one time,",前に何度も倒れたはいいが、それが一度、,,,,
SAY.Standard.1413.孙燕,,뭘 봤는지 알아? ,Guess what he saw?,彼を見たって何だと思う?,,,,
MENU.Standard.1464,,내가 어떻게 알아? 말해 줘!,Just have a guess?,このどちらの当て得?別のああいうたの?早く言ってよ!,,,,
MENU.Standard.1465,,야! 밤인데 얘기하지 마!,How would I know?! Just tell me!,よ!大の夜の、もう下に话した!,,,,
SAY.Standard.4883.肖月,,{vpunch=30}아 갑자기 생각난 게 있어!,{vpunch=30} Oh my! I just remembered!,,,,,
SAY.Standard.4899.王亚茹,,"（이런, 밖에서도 들리네!）",(God! I can still hear them from outside! ),,,,,
SAY.Standard.4882.李琴,,뭔데?,What?,,,,,
SAY.Standard.4884.肖月,,지난주에 애들이랑 몰래 밤에 수영장에 간 적이 있어.,"Last week, we went to the pool in the evening, around 5 of us.",,,,,
SAY.Standard.4885.肖月,,"어디서 구했는지 몰라도, 자오커에게 열쇠가 있었거든.","Ke got the key, I don't know where he got it.",,,,,
SAY.Standard.4886.肖月,,"우린 한 시간쯤 수영을 했고,","We swam for an hour, everything was fine.",,,,,
SAY.Standard.4887.肖月,,막 나가려고 할 때 뭔가가 발목에 닿았어!,"But just when we were leaving, I felt something around my ankle.",,,,,
SAY.Standard.4888.李琴,,같이 간 애들이 장난친 거 아냐?,Wasn't that one of your friends joking with you?,,,,,
SAY.Standard.4889.肖月,,아냐! 다들 물 밖에 있었어. 내가 마지막이었고…,"No, they were all out of water at the time, I was the last one...",,,,,
SAY.Standard.4892.肖月,,"지금 돌이켜 보면 누군가의 손 같았는데, ",I didn't think much about it...but now that you mention it...,,,,,
SAY.Standard.4891.肖月,,마치 내 발목을 만지는 것 같았어!,It felt like someone touched my ankle with its hand!,,,,,
SAY.Standard.4890.肖月,,나 완전 소름 돋았었어!,Jesus! I got goosebumps all over!,,,,,
SAY.Standard.4893.李琴,,다시는 밤에 가지 마! 무슨 일이 생길지 알아!,Don't ever go there again at night! You don't know what will happen.,,,,,
SAY.Standard.4896.李琴,,"소문이긴 하지만, 아니 땐 굴뚝에 연기 나겠니.","You don't need to believe what I said, but there's no smoke without fire.",,,,,
SAY.Standard.4895.李琴,,조심하는 게 좋아!,You can't be too careful.,,,,,
SAY.Standard.4900.王亚茹,,（이 둘은 바보같이 그걸 믿는 거야?）,(Really? They believe that shit? ),,,,,
SAY.Standard.4901.王亚茹,,（그리고 꼭 이렇게 크게 말해야 해?）,(And do you have to talk that loud?),,,,,
SAY.Standard.4894.李琴,,"그건 그렇고, 새 수영복은 잘 통했어?",Did your new swimsuits work on him?,,,,,
SAY.Standard.4897.肖月,,하! 나를 쳐다보지도 않았어…,"Naaah, he didn't even glance me one more look...",,,,,
SAY.Standard.4898.肖月,,가슴이 너무 작아서일지도 몰라…,Maybe my boobs are too small...,,,,,
SAY.Standard.4904.李琴,,바보! 다음엔 뽕을 넣으렴…,That's easy! Stuff something in next time...,,,,,
SAY.Standard.4903.王亚茹,,（잘도 통하겠다!{vpunch = 30}）,(Like that'd work! Dumbass {vpunch=30}.),,,,,
SAY.Standard.4902.王亚茹,,（이 둘은 정말 바보 같아.）,(These two bore the shit out of me.),,,,,
SAY.Standard.5425.王亚茹,,（가까이하지 말아야지.）,(Think I should stay far away from them.),,,,,
SAY.Standard.882.王亚茹,,（어? 저기 기둥 뒤에 뭔가 있나?）,"( Uhm, What's behind the wall in the end of the hallway? )",（えっ?あっちの柱の後に何か。）,,,,
SAY.Standard.887.王亚茹,,（사람…인가?{vpunch=30} ）,( It is a...  Person?  {vpunch=30}),（そこは…人?{vpunch=30}）,,,,
SAY.Standard.1021.王亚茹,,（구석에 여자애가 쪼그리고 있는 것 같아…）,( Looks like a girl? squatting in the corner...  ),（は女子のように果ての隅でうずくまっていた…）,,,,
SAY.Standard.1022.王亚茹,,（어두워서 잘 안 보여.）,(  It's too far to see.  ),（影影绰绰见実感がない。）,,,,
SAY.Standard.1023.王亚茹,,（뭘 하고 있는 거지?）,( What's she doing there?  ),（日が暮れましたが、彼女は何か?）,,,,
SAY.Standard.1024.王亚茹,,（가까이 가서 볼까?）,( Should I take a closer look? ),（近づいて行くを见ない?）,,,,
MENU.Standard.890,,여긴 스트레스받는 학생이 많아. 저애가 괜찮은지 볼까?,This school is putting too much pressure on its students. I hope she is okay.,これが重点高校ストレス、極端な例が少なくないと闻いて、彼女が何である。,,,,
MENU.Standard.891,,관두자. 내 연습도 못 했는데 다른 사람 신경 쓸 때가 아냐.,"Forget it, I'm in a mess myself? I don't have time to worry about the others. ",まあ、まあ、自分のことはまだ済む、私は时间が他人の心配。,,,,
SAY.Standard.908.王亚茹,,이봐?,Hello?,クラスメートの?,,,,
SAY.Standard.909.王亚茹,,（무시하네…）,( She ignored me. ),（彼女は私放置。）,,,,
SAY.Standard.1029.王亚茹,,（못 들은 거겠지.）,(Maybe she didn't hear me? ),（聞こえなかった可能性もある。）,,,,
SAY.Standard.1028.王亚茹,,（책을 읽는 건 아니고 빈 구석을 응시하는 것 같아.）,(She is... definitely not reading .  Looks like she is staring at the empty corner...),（ような本を読んでいないよ、まるで见つめ隅が见られる。）,,,,
SAY.Standard.1027.王亚茹,,（{vpunch=30}이상한 사람이네. 가까이 가지 않는 게 좋겠어.）,({vpunch=30} What a weirdo? That's not creepy at all. I'd better stay away from her. ),（ {vpunch=30}本当に不思議な…私は彼女から远い时ほうがいい/ t {},,,,
SAY.Standard.915.王亚茹,,바람이 시원하니 상쾌하다!,"The night breeze is always refreshing, so cozy!",风に吹かれて目覚めた!余り,,,,
